date,px_last,px_high,px_low,px_close_1d,volume,aja
2022-07-05,46000,46800,46000,46000,4837,37970.5859375
2022-07-06,46000,46800,46000,46000,4837,37970.5859375
2022-07-07,46920,46920,45210,46920,21421,38730.00390625
2022-07-08,46450,46450,46100,46450,8550,38342.0546875
2022-07-11,46200,46510,46000,46200,11165,38135.671875
2022-07-12,45950,46000,45600,45950,14049,37929.3203125
2022-07-13,45450,45950,45400,45450,6697,37516.5859375
2022-07-14,43480,45020,42000,43480,24986,35890.46484375
2022-07-15,40600,42540,40010,40600,20277,33513.171875
2022-07-18,41400,41990,40000,41400,27607,34173.53125
2022-07-19,41500,42000,41400,41500,11749,34256.078125
2022-07-20,41500,41500,41500,41500,0,34256.078125
2022-07-21,42000,42560,40810,42000,8499,34668.79296875
2022-07-22,42000,42000,42000,42000,1482,34668.79296875
2022-07-25,41400,41400,41400,41400,706,34173.53125
2022-07-26,41400,41400,41400,41400,600,34173.53125
2022-07-27,41400,41400,41400,41400,1630,34173.53125
2022-07-28,42000,42000,41990,42000,4014,34668.79296875
2022-07-29,41500,42000,41490,41500,4418,34256.078125
2022-08-01,41790,41790,40500,41790,48034,34495.45703125
2022-08-02,41790,41790,41790,41790,447,34495.45703125
2022-08-03,40860,41000,40850,40860,3403,33727.78515625
2022-08-04,40550,40550,40550,40550,2414,33471.890625
2022-08-05,41700,41700,41600,41700,774,34421.1484375
2022-08-08,43470,43470,41700,43470,17844,35882.2109375
2022-08-09,43440,43470,42100,43440,4598,35857.44921875
2022-08-10,42600,42600,41510,42600,3968,35164.05859375
2022-08-11,42000,42980,41030,42000,5535,34668.79296875
2022-08-12,41760,41960,41760,41760,2107,34470.6875
2022-08-15,41760,41760,41760,41760,0,34470.6875
2022-08-16,41760,41760,41760,41760,0,34470.6875
2022-08-17,42600,43470,42060,42600,7172,35164.05859375
2022-08-18,42520,42520,41980,42520,10514,35098.03125
2022-08-19,42000,42000,41000,42000,6636,34668.79296875
2022-08-22,41000,41050,41000,41000,4373,33843.33984375
2022-08-23,39530,41000,37000,39530,5559,32629.9453125
2022-08-24,39400,40000,39400,39400,4389,32522.638671875
2022-08-25,39400,41400,39400,39400,6841,32522.638671875
2022-08-26,40000,40000,39000,40000,2789,33017.91015625
2022-08-29,39900,39900,39900,39900,1345,32935.36328125
2022-08-30,39700,39700,39700,39700,766,32770.26953125
2022-08-31,40000,40000,37250,40000,17558,33017.91015625
2022-09-01,36900,37610,36900,36900,3494,30459.009765625
2022-09-02,39500,39500,39500,39500,996,32605.173828125
2022-09-05,39480,39480,39470,39480,1903,32588.671875
2022-09-06,38000,38010,38000,38000,1061,31367.0078125
2022-09-07,37000,38000,37000,37000,9751,30541.55859375
2022-09-08,36600,36600,36600,36600,1117,30211.375
2022-09-09,36600,36600,36600,36600,601,30211.375
2022-09-12,37000,37000,36640,37000,2403,30541.55859375
2022-09-13,35800,36350,35000,35800,2128,29551.025390625
2022-09-14,35800,35800,35800,35800,622,29551.025390625
2022-09-15,35300,35300,35300,35300,3764,29138.302734375
2022-09-16,33720,35250,33720,33720,50300,27834.091796875
2022-09-19,33720,34880,33000,33720,5743,27834.091796875
2022-09-20,33700,33900,30400,33700,10707,27817.583984375
2022-09-21,32530,33870,32000,32530,6879,26851.8125
2022-09-22,32530,32530,32530,32530,1366,26851.8125
2022-09-23,31250,33400,31250,31250,7506,25795.23828125
2022-09-26,28600,30420,28600,28600,4294,23607.802734375
2022-09-27,28030,30050,28030,28030,8150,23137.294921875
2022-09-28,28800,29800,28500,28800,70145,23772.892578125
2022-09-29,28250,28250,28100,28250,1157,23318.8984375
2022-09-30,28540,28540,28250,28540,1698,23558.2734375
2022-10-03,29670,29670,29670,29670,755,24491.03125
2022-10-04,30510,30510,30510,30510,963,25184.40234375
2022-10-05,30700,30700,30520,30700,2090,25341.244140625
2022-10-06,30700,30700,30700,30700,533,25341.244140625
2022-10-07,30600,30600,30600,30600,584,25258.697265625
2022-10-10,30600,30600,30600,30600,124,25258.697265625
2022-10-11,30600,30600,30600,30600,444,25258.697265625
2022-10-12,30600,30600,30600,30600,520,25258.697265625
2022-10-13,29250,30390,29250,29250,1630,24144.33984375
2022-10-14,30000,30000,29980,30000,916,24763.427734375
2022-10-17,30000,30000,30000,30000,0,24763.427734375
2022-10-18,29220,29230,29200,29220,2033,24119.580078125
2022-10-19,29000,30400,29000,29000,6074,23937.978515625
2022-10-20,29000,30400,29000,29000,6074,23937.978515625
2022-10-21,28500,28500,28500,28500,4739,23525.255859375
2022-10-24,27000,28250,26350,27000,3147,22287.083984375
2022-10-25,26500,27030,26500,26500,5129,21874.361328125
2022-10-26,26540,27300,26540,26540,2354,21907.375
2022-10-27,26000,26520,26000,26000,10997,21461.6328125
2022-10-28,26000,26100,25990,26000,7851,21461.6328125
2022-10-31,26000,26200,25500,26000,3260,21461.6328125
2022-11-01,27000,27940,25500,27000,7876,22287.083984375
2022-11-02,28000,28080,26700,28000,9338,23112.53515625
2022-11-03,27570,28000,27570,27570,3054,22757.587890625
2022-11-04,27310,27980,27000,27310,4532,22542.9765625
2022-11-07,27310,27310,27310,27310,0,22542.9765625
2022-11-08,28400,28400,27350,28400,4588,23442.712890625
2022-11-09,28180,28480,28000,28180,6884,23261.111328125
2022-11-10,29990,29990,28400,29990,18329,24755.171875
2022-11-11,30000,32450,30000,30000,10984,24763.427734375
2022-11-14,30000,30000,30000,30000,0,24763.427734375
2022-11-15,30000,30000,28800,30000,6380,24763.427734375
2022-11-16,30400,30400,29010,30400,8473,25093.609375
2022-11-17,29300,30400,29300,29300,3922,24185.61328125
2022-11-18,30000,30490,29600,30000,5303,24763.427734375
2022-11-21,31000,31000,29990,31000,10071,25588.876953125
2022-11-22,31000,31000,29990,31000,10071,25588.876953125
2022-11-23,31500,31500,31500,31500,1174152400,26001.599609375
2022-11-24,31500,31500,31500,31500,0,26001.599609375
2022-11-25,32500,33980,32500,33980,7693,28048.708984375
2022-11-28,33750,34000,33750,33900,4461,27982.677734375
2022-11-29,33105.8515625,33105.8515625,33105.8515625,33105.8515625,376,27327.146484375
2022-11-30,32990,33000,32000,32000,92272,26414.322265625
2022-12-01,32000,34000,32000,34000,82904,28065.220703125
2022-12-02,34100,35010,33900,33900,13882,27982.677734375
2022-12-05,33839.1484375,33839.1484375,33839.1484375,33839.1484375,164,27932.443359375
2022-12-06,33900,33900,33900,33900,17,27982.677734375
2022-12-07,34000,34000,34000,34000,1188,28065.220703125
2022-12-08,34000,34000,34000,34000,0,28065.220703125
2022-12-09,34000,34000,34000,34000,563,28065.220703125
2022-12-12,33500,33500,33500,33500,920,27652.494140625
2022-12-13,33500,33800,33500,33800,2538,27900.12890625
2022-12-14,33200,33200,30430,31910,27034,26340.037109375
2022-12-15,30600,31950,30600,31950,2274,26373.046875
2022-12-16,31870,32520,31870,32520,9203,26843.556640625
2022-12-19,33790,33990,33790,33990,9455,28056.966796875
2022-12-20,33990,34900,33990,34900,15944,28808.126953125
2022-12-21,34980,37000,34980,37000,6450,30541.55859375
2022-12-22,37000,37000,36900,36900,4990,30459.009765625
2022-12-23,36900,36900,36900,36900,16457,30459.009765625
2022-12-26,36632.609375,36632.609375,36632.609375,36632.609375,552,30238.302734375
2022-12-27,37100,39000,37100,38000,2214,31367.0078125
2022-12-28,38000,40000,38000,40000,7065,33017.91015625
2022-12-29,40000,40000,37000,37000,9941,30541.55859375
2022-12-30,37000,37000,37000,37000,0,30541.55859375
2023-01-02,38504.01171875,38504.01171875,38504.01171875,38504.01171875,424,31783.041015625
2023-01-03,39900,39900,39900,39900,1068,32935.36328125
2023-01-04,39276.62890625,39276.62890625,39276.62890625,39276.62890625,682,32420.796875
2023-01-05,39990,39990,39990,39990,987,33009.65234375
