date,px_last,px_high,px_low,px_close_1d,volume,aja
2022-08-18,7580,7695,7580,7580,56627,5378.9677734375
2022-08-19,7675,7700,7625,7675,20524,5446.38232421875
2022-08-22,7600,7650,7510,7600,39464,5393.15966796875
2022-08-23,7650,7655,7510,7650,21565,5428.64111328125
2022-08-24,7850,7850,7650,7850,61025,5570.56689453125
2022-08-25,7650,7845,7650,7650,9646,5428.64111328125
2022-08-26,7880,7880,7650,7880,82153,5591.85546875
2022-08-29,7850,7880,7775,7850,14055,5570.56689453125
2022-08-30,7860,7860,7840,7860,8576,5577.66259765625
2022-08-31,7840,7850,7760,7840,37316,5563.47021484375
2022-09-01,7835,7835,7825,7835,8984,5559.92236328125
2022-09-02,8290,8290,7835,8290,75563,5882.80224609375
2022-09-05,8260,8300,8260,8260,6484,5861.513671875
2022-09-06,8260,8260,8260,8260,2699,5861.513671875
2022-09-07,8260,8260,8260,8260,3223,5861.513671875
2022-09-08,8245,8245,7785,8245,47056,5850.869140625
2022-09-09,8245,8245,8245,8245,1017,5850.869140625
2022-09-12,8295,8295,7710,8295,10119,5886.35009765625
2022-09-13,8165,8165,7900,8165,15726,5794.09912109375
2022-09-14,7990,8000,7800,7990,21878,5669.91455078125
2022-09-15,7950,7950,7710,7950,6332,5641.529296875
2022-09-16,7950,7950,7950,7950,2030,5641.529296875
2022-09-19,7850,7850,7850,7850,6966,5570.56689453125
2022-09-20,8000,8000,7900,8000,8488,5677.0107421875
2022-09-21,7900,8000,7900,7900,7945,5606.0478515625
2022-09-22,8100,8100,7920,8100,20854,5747.97314453125
2022-09-23,7900,7910,7900,7900,6939,5606.0478515625
2022-09-26,7990,7990,7805,7990,7279,5669.91455078125
2022-09-27,7740,7740,7740,7740,5312,5492.50732421875
2022-09-28,7750,7750,7750,7750,5492,5499.60400390625
2022-09-29,7990,7990,7990,7990,4370,5669.91455078125
2022-09-30,8095,8095,7985,8095,13379,5744.4248046875
2022-10-03,8010,8070,7760,8010,23398,5684.10693359375
2022-10-04,8180,8180,8010,8180,24249,5804.7431640625
2022-10-05,8200,8200,8100,8200,15144,5818.93603515625
2022-10-06,8190,8190,8190,8190,11829,5811.83935546875
2022-10-07,8100,8200,7820,8100,21176,5747.97314453125
2022-10-10,8185,8185,7830,8185,8535,5808.29150390625
2022-10-11,8150,8185,8000,8150,9510,5783.45458984375
2022-10-12,8150,8150,8150,8150,2281,5783.45458984375
2022-10-13,8185,8185,7970,8185,38429,5808.29150390625
2022-10-14,7780,8000,7780,7780,14028,5520.892578125
2022-10-17,7780,7780,7780,7780,0,5520.892578125
2022-10-18,8140,8140,8140,8140,8573,5776.3583984375
2022-10-19,8180,8180,8060,8180,7826,5804.7431640625
2022-10-20,8180,8180,8060,8180,7826,5804.7431640625
2022-10-21,8180,8180,8180,8180,1794,5804.7431640625
2022-10-24,8080,8080,7815,8080,14389,5733.78076171875
2022-10-25,8080,8080,8080,8080,2523,5733.78076171875
2022-10-26,7805,8030,7720,7805,23587,5538.63330078125
2022-10-27,7860,7860,7860,7860,4374,5577.66259765625
2022-10-28,8010,8010,7865,8010,7926,5684.10693359375
2022-10-31,8030,8030,7900,8030,12628,5698.29931640625
2022-11-01,8150,8170,8100,8150,25448,5783.45458984375
2022-11-02,8170,8170,8170,8170,8379,5797.6474609375
2022-11-03,8170,8170,8040,8170,9641,5797.6474609375
2022-11-04,8160,8170,8100,8160,18749,5790.55078125
2022-11-07,8160,8160,8160,8160,0,5790.55078125
2022-11-08,8155,8155,7915,8155,29289,5787.00244140625
2022-11-09,8000,8160,8000,8000,23211,5677.0107421875
2022-11-10,8185,8185,8050,8185,18512,5808.29150390625
2022-11-11,8185,8185,8100,8185,28769,5808.29150390625
2022-11-14,8185,8185,8185,8185,0,5808.29150390625
2022-11-15,8185,8185,8075,8185,33230,5808.29150390625
2022-11-16,8100,8180,8000,8100,10362,5747.97314453125
2022-11-17,8095,8095,7940,8095,46000,5744.4248046875
2022-11-18,7960,7960,7960,7960,2665,5648.62548828125
2022-11-21,8000,8000,7940,8000,21106,5677.0107421875
2022-11-22,8000,8000,7940,8000,21106,5677.0107421875
2022-11-23,7964.81982421875,7964.81982421875,7964.81982421875,7964.81982421875,11270220,5652.0458984375
2022-11-24,7964.81982421875,7964.81982421875,7964.81982421875,7964.81982421875,0,5652.0458984375
2022-11-25,7964.81982421875,7964.81982421875,7964.81982421875,7964.81982421875,0,5652.0458984375
2022-11-28,7913.66015625,7913.66015625,7913.66015625,7913.66015625,1435,5615.7412109375
2022-11-29,7910,7960,7910,7960,6585,5648.62548828125
2022-11-30,7920,8140,7910,8140,33832,5776.3583984375
2022-12-01,8140,8140,8140,8140,46067,5776.3583984375
2022-12-02,8113.31005859375,8113.31005859375,8113.31005859375,8113.31005859375,1075,5757.41845703125
2022-12-05,7925,7925,7900,7900,23084,5606.0478515625
2022-12-06,7705,7780,7705,7780,292,5520.892578125
2022-12-07,7750,7750,7750,7750,7124,5499.60400390625
2022-12-08,7750,7750,7750,7750,0,5499.60400390625
2022-12-09,7750,7750,7750,7750,8098,5499.60400390625
2022-12-12,7883.68017578125,7883.68017578125,7883.68017578125,7883.68017578125,971,5594.46728515625
2022-12-13,7730,7730,7600,7600,19900,5393.15966796875
2022-12-14,7900,7905,7900,7905,5003,5609.59619140625
2022-12-15,7882.5400390625,7882.5400390625,7882.5400390625,7882.5400390625,3761,5593.65771484375
2022-12-16,7700,7700,7700,7700,3260,5464.12255859375
2022-12-19,7800,7900,7800,7900,3863,5606.0478515625
2022-12-20,7850,7850,7850,7850,1811,5570.56689453125
2022-12-21,8000,8000,8000,8000,5581,5677.0107421875
2022-12-22,7970,8000,7900,8000,22526,5677.0107421875
2022-12-23,8038.8701171875,8038.8701171875,8038.8701171875,8038.8701171875,796,5704.59375
2022-12-26,8040,8040,8040,8040,3600,5705.3955078125
2022-12-27,7900,7900,7900,7900,6879,5606.0478515625
2022-12-28,7835.31005859375,7835.31005859375,7835.31005859375,7835.31005859375,2905,5560.14208984375
2022-12-29,8030,8030,8030,8030,6352,5698.29931640625
2022-12-30,8030,8030,8030,8030,0,5698.29931640625
2023-01-02,8000,8000,8000,8000,3618,5677.0107421875
2023-01-03,7970.259765625,7970.259765625,7970.259765625,7970.259765625,2127,5655.90576171875
2023-01-04,8050,8050,8050,8050,3960,5712.4921875
2023-01-05,8086.490234375,8086.490234375,8086.490234375,8086.490234375,2352,5738.38623046875
2023-01-06,8100,8100,8055,8100,12126,5747.97314453125
2023-01-09,8100,8100,8100,8100,0,5747.97314453125
2023-01-10,8100,8100,8100,8100,24350,5747.97314453125
2023-01-11,8085.509765625,8085.509765625,8085.509765625,8085.509765625,4385,5737.69091796875
2023-01-12,8060,8150,8060,8150,22621,5783.45458984375
2023-01-13,8175,8175,8175,8175,8940,5801.1953125
2023-01-16,8115,8135,8115,8135,4295,5772.81005859375
2023-01-17,8190,8200,8190,8200,7109,5818.93603515625
2023-01-18,8200,8250,8200,8250,53325,5854.4169921875
2023-01-19,8300,8300,8150,8150,14387,5783.45458984375
2023-01-20,8213.6796875,8213.6796875,8213.6796875,8213.6796875,1296,5828.6435546875
2023-01-23,8160,8350,8155,8155,7938,5787.00244140625
2023-01-24,8160,8160,8150,8150,9689,5783.45458984375
2023-01-25,8120,8200,8100,8200,13346,5818.93603515625
2023-01-26,8210.7001953125,8210.7001953125,8210.7001953125,8210.7001953125,3931,5826.52880859375
2023-01-27,8200,8200,8200,8200,11696,5818.93603515625
2023-01-30,8010,8010,8010,8010,6027,5684.10693359375
2023-01-31,8025,8180,8025,8180,13288,5804.7431640625
2023-02-01,8060,8060,8060,8060,3153,5719.587890625
2023-02-02,8200,8200,8200,8200,9361,5818.93603515625
2023-02-03,8100,8100,8100,8100,3581,5747.97314453125
2023-02-06,8150,8150,8100,8100,5935,5747.97314453125
2023-02-07,8156.58984375,8156.58984375,8156.58984375,8156.58984375,1584,5788.130859375
2023-02-08,8108.0498046875,8108.0498046875,8108.0498046875,8108.0498046875,1729,5753.68603515625
2023-02-09,8130,8395,8130,8395,13585,5957.31298828125
2023-02-10,8000,8010,8000,8010,14223,5684.10693359375
2023-02-13,8010,8020,7950,7950,15855,5641.529296875
2023-02-14,7940,7940,7940,7940,5592,5634.43310546875
2023-02-15,7900,7915,7900,7900,22945,5606.0478515625
2023-02-16,7983.14990234375,7983.14990234375,7983.14990234375,7983.14990234375,2951,5665.05322265625
2023-02-17,7920,7920,7920,7920,6447,5620.240234375
2023-02-20,7892.830078125,7892.830078125,7892.830078125,7892.830078125,1440,5600.95947265625
2023-02-21,7912.60986328125,7912.60986328125,7912.60986328125,7912.60986328125,1443,5614.99609375
2023-02-22,7895.6298828125,7895.6298828125,7895.6298828125,7895.6298828125,3650,5602.94677734375
2023-02-23,8000,8000,7800,7800,16070,5535.0849609375
2023-02-24,7800,7805,7800,7805,8316,5538.63330078125
2023-02-27,7880,8075,7850,8075,7703,5730.232421875
2023-02-28,8065,8065,7830,7830,7969,5556.3740234375
2023-03-01,7900,8045,7900,7980,12534,5662.81787109375
2023-03-02,8014.3798828125,8014.3798828125,8014.3798828125,8014.3798828125,4639,5687.21484375
2023-03-03,8085,8085,8085,8085,6115,5737.3291015625
2023-03-06,8160,8220,8100,8220,21462,5833.1279296875
2023-03-07,8490,8490,8490,8490,11005,6024.7275390625
2023-03-08,8563.759765625,8563.759765625,8563.759765625,8563.759765625,3392,6077.06982421875
2023-03-09,8600,8600,8305,8305,13015,5893.44677734375
2023-03-10,8399.58984375,8399.58984375,8399.58984375,8399.58984375,157,5960.5703125
2023-03-13,8314.240234375,8314.240234375,8314.240234375,8314.240234375,1649,5900.00390625
2023-03-14,8305,8305,7800,7800,51844,5535.0849609375
2023-03-15,8485,8485,8395,8395,5702,5957.31298828125
2023-03-16,8295,8295,8295,8295,4655,5886.35009765625
2023-03-17,8295,8350,8295,8300,10485,5889.8984375
2023-03-20,8300,8300,8300,8300,0,5889.8984375
2023-03-21,8300,8300,8300,8300,7250,5889.8984375
2023-03-22,8305,8350,8295,8295,35624,5886.35009765625
2023-03-23,8225,8290,8110,8270,60596,5868.609375
2023-03-24,8380,8465,8150,8465,20483,6006.98681640625
2023-03-27,7860,7860,7625,7700,72692,6129.4736328125
2023-03-28,7750,7750,7650,7650,16543,6089.671875
2023-03-29,7645,7645,7645,7645,7731,6085.69189453125
2023-03-30,7640,7680,7640,7680,13634,6113.552734375
2023-03-31,7650,7650,7650,7650,10078,6089.671875
2023-04-03,7650,7650,7570,7600,18900,6049.8701171875
2023-04-04,7650,7650,7650,7650,9814,6089.671875
2023-04-05,7655,7700,7655,7700,25817,6129.4736328125
2023-04-06,7700,7700,7700,7700,0,6129.4736328125
2023-04-07,7700,7700,7700,7700,0,6129.4736328125
2023-04-10,7690,7690,7685,7685,19570,6117.533203125
2023-04-11,7643.66015625,7643.66015625,7643.66015625,7643.66015625,3319,6084.625
